web-scraper-order,web-scraper-start-url,Title and Link,Title and Link-href,Price,Strike price,Rating,Badge,Page no,Discount,Ratings count,ASIN,Brand,Model or series,Sold by,Country of Origin,Manufacturer,Store name and link,Store name and link-href,Availability,ASIN2,Item weight
"1694095081-38","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","HP 962XL Black High-yield Ink Cartridge | Works with HP OfficeJet 9010 Series, HP OfficeJet Pro 9010, 9020 Series | Eligible for Instant Ink | 3JA03AN","https://www.amazon.com/HP-962XL-Cartridge-Black-3JA03AN/dp/B07MK5DG9V/ref=sr_1_49?qid=1694094816&s=electronics&sr=1-49","$46.89","","4.7 out of 5 stars","","3","","8,731 ratings","B07MK5DG9V","HP","962XL Ink Cartridge Black (3JA03AN)","ToneTech","","‎HP","Visit the HP Store","https://www.amazon.com/stores/HP/page/5BA42671-3E42-4AEB-B9E4-272F10DD0121?ref_=ast_bln","In Stock","B07MK5DG9V","‎3.68 ounces"
"1694095087-39","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","Sceptre 24-inch Professional Thin 1080p LED Monitor 99% sRGB 2x HDMI VGA Build-in Speakers, Machine Black (E248W-19203R Series)","https://www.amazon.com/Sceptre-E248W-19203R-Monitor-Speakers-Metallic/dp/B0773ZY26F/ref=sr_1_58?qid=1694094816&s=electronics&sr=1-58","$89.97","$119.97","4.6 out of 5 stars","Best Seller","3","-25%","27,729 ratings","‎B0773ZY26F","Sceptre","","Amazon.com","‎China","‎Sceptre Inc.","Visit the Sceptre Store","https://www.amazon.com/stores/SceptreInc/page/ACF6E09F-2DD3-41A9-AB26-0C549BB6EC35?ref_=ast_bln","In Stock","B0773ZY26F","‎4 pounds"
"1694095093-40","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","Amazon Basics 8 Sheet Cross Cut Paper and Credit Card Shredder with 4.1 Gallon Bin, Black","https://www.amazon.com/AmazonBasics-8-Sheet-Cross-Cut-Credit-Shredder/dp/B00YFTHJ9C/ref=sr_1_57?qid=1694094816&s=electronics&sr=1-57","$31.96","$54.15","4.6 out of 5 stars","Best Seller","3","-41%","207,245 ratings","B00YFTHJ9C","Amazon Basics","‎AU860XA","Amazon.com","","‎Amazon","Visit the Amazon Basics Store","https://www.amazon.com/stores/AmazonBasics/page/947C6949-CF8E-4BD3-914A-B411DD3E4433?ref_=ast_bln","In Stock","B00YFTHJ9C","‎8.3 pounds"
"1694095099-41","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","Ailun 2 Pack Screen Protector for iPhone 13 [6.1 inch Display] with 2 Pack Tempered Glass Camera Lens Protector,[9H Hardness]-HD[4 Pack]","https://www.amazon.com/Ailun-Protector-Compatible-Tempered-Hardness/dp/B09CTF763F/ref=sr_1_56?qid=1694094816&s=electronics&sr=1-56","$7.56","$12.99","4.5 out of 5 stars","","3","-42%","112,838 ratings","B09CTF763F","Ailun","iphone13 2GSP+2Lens","AilunUS","China","AilunUS","Visit the Ailun Store","https://www.amazon.com/stores/Ailun/page/52AA3AC5-42CD-4237-BE3F-75EE5051346D?ref_=ast_bln","In Stock","B09CTF763F","2.12 ounces"
"1694095106-42","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","HP 902XL Black High-yield Ink Cartridge | Works with HP OfficeJet 6950, 6960 Series, HP OfficeJet Pro 6960, 6970 Series | Eligible for Instant Ink | T6M14AN","https://www.amazon.com/HP-902XL-Black-Cartridge-T6M14AN/dp/B01BYKD628/ref=sr_1_55?qid=1694094816&s=electronics&sr=1-55","$45.89","","4.6 out of 5 stars","","3","","21,256 ratings","B01BYKD628","HP","902XL (T6M14AN) High-capacity Ink Cartridge","Total Office Solutions","","HP","Visit the HP Store","https://www.amazon.com/stores/HP/page/5BA42671-3E42-4AEB-B9E4-272F10DD0121?ref_=ast_bln","In Stock","B01BYKD628","2.88 ounces"
"1694095112-43","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","Sony WH-1000XM4 Wireless Premium Noise Canceling Overhead Headphones with Mic for Phone-Call and Alexa Voice Control, Black WH1000XM4","https://www.amazon.com/Sony-WH-1000XM4-Canceling-Headphones-phone-call/dp/B0863TXGM3/ref=sr_1_54?qid=1694094816&s=electronics&sr=1-54","$278.00","$348.00","4.7 out of 5 stars","","3","-20%","51,747 ratings","B0863TXGM3","Sony","WH1000XM4/B","Focus Camera LLC","","Sony","Visit the Sony Store","https://www.amazon.com/stores/Sony/page/AEA5D08A-7FC6-45D4-B121-C8A6FA25219F?ref_=ast_bln","Only 12 left in stock - order soon","B0863TXGM3","9 ounces"
"1694095119-44","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","SAMSUNG EVO Select Micro SD-Memory-Card + Adapter, 256GB microSDXC 130MB/s Full HD & 4K UHD, UHS-I, U3, A2, V30, Expanded Storage for Android Smartphones, Tablets, Nintendo-Switch (MB-ME256KA/AM)","https://www.amazon.com/SAMSUNG-microSDXC-Expanded-MB-ME256KA-AM/dp/B09B1GXM16/ref=sr_1_53?qid=1694094816&s=electronics&sr=1-53","$19.99","$39.99","4.7 out of 5 stars","","3","-50%","64,249 ratings","‎B09B1GXM16","SAMSUNG","EVO Select","Amazon.com","‎Philippines","‎Samsung","Visit the SAMSUNG Store","https://www.amazon.com/stores/Samsung%C2%AE/page/F50AFABA-4CDE-4A95-84D0-CA4C61819FEB?ref_=ast_bln","In Stock","B09B1GXM16","‎0.317 ounces"
"1694095125-45","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","HUANUO Dual Monitor Stand, Adjustable Spring Monitor Desk Mount for 13-27 inch, Dual Monitor Mount Holds Max 14.3lbs, Computer Monitor Arms with Wide Range of Motion for Home Office","https://www.amazon.com/HUANUO-Dual-Monitor-Stand-Adjustable/dp/B07T5SY43L/ref=sr_1_52?qid=1694094816&s=electronics&sr=1-52","$49.99","$67.99","4.6 out of 5 stars","Best Seller","3","-26%","22,382 ratings","B07T5SY43L","HUANUO","HNDS6","Dream Fit 2020","China","HUANUO","Visit the HUANUO Store","https://www.amazon.com/stores/HUANUO/page/55EDDCFD-41A2-4CD0-BDCC-11362F7306D7?ref_=ast_bln","In Stock","","11 pounds"
"1694095132-46","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","Epson EcoTank ET-2800 Wireless Color All-in-One Cartridge-Free Supertank Printer with Scan and Copy â€“ The Ideal Basic Home Printer - White, Medium","https://www.amazon.com/Epson-EcoTank-Wireless-Cartridge-Free-Supertank/dp/B096N8CNBZ/ref=sr_1_51?qid=1694094816&s=electronics&sr=1-51","","","4.4 out of 5 stars","Best Seller","3","","4,017 ratings","B096N8CNBZ","Epson","ET-2800 White","","","Epson","Visit the Epson Store","https://www.amazon.com/stores/Epson/page/938A6E01-68B6-4115-8369-91F0063B474B?ref_=ast_bln","","B096N8CNBZ","12.42 pounds"
"1694095138-47","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","JBL Vibe 200TWS True Wireless Earbuds - Black, Small","https://www.amazon.com/JBL-Vibe-200TWS-Wireless-Earbuds/dp/B097F4V3FJ/ref=sr_1_50?qid=1694094816&s=electronics&sr=1-50","$47.95","","4.3 out of 5 stars","","3","","15,628 ratings","B097F4V3FJ","JBL","Vibe 200TWS","","","JBL","Visit the JBL Store","https://www.amazon.com/stores/JBL/page/17575AD5-FBC3-4ACB-8002-79EF7CF1DE1E?ref_=ast_bln","","B097F4V3FJ","1.69 ounces"
"1694095145-48","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","HP 952XL Black High-yield Ink Cartridge | Works with HP OfficeJet 8702, HP OfficeJet Pro 7720, 7740, 8210, 8710, 8720, 8730, 8740 Series | Eligible for Instant Ink | F6U19AN","https://www.amazon.com/HP-Original-Cartridge-F6U19AN-OfficeJet/dp/B01B6QGJ42/ref=sr_1_49?qid=1694094816&s=electronics&sr=1-49","$51.89","","4.7 out of 5 stars","","3","","14,991 ratings","B01B6QGJ42","HP","952XL (F6U19AN) High-yield Ink Cartridge","Total Office Solutions","","‎HP","Visit the HP Store","https://www.amazon.com/stores/HP/page/5BA42671-3E42-4AEB-B9E4-272F10DD0121?ref_=ast_bln","Only 18 left in stock - order soon","B01B6QGJ42","‎3.68 ounces"
"1694095151-49","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","Logitech H390 Wired Headset for PC/Laptop, Stereo Headphones with Noise Cancelling Microphone, USB, In-Line Controls, Works with Chromebook - Black","https://www.amazon.com/Logitech-Headset-H390-Noise-Cancelling/dp/B000UXZQ42/ref=sr_1_48?qid=1694094810&s=electronics&sr=1-48","$19.99","","4.4 out of 5 stars","Best Seller","2","","54,362 ratings","B000UXZQ42","Logitech","H390 USB COMPUTER HEADSET","","","Logitech","Visit the Logitech Store","https://www.amazon.com/stores/Logitech/page/01EFDE77-7D1A-41D7-9EEA-7C2FA22AB12F?ref_=ast_bln","","B000UXZQ42","7 ounces"
"1694095164-50","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","Bose QuietComfort 45 Bluetooth Wireless Noise Cancelling Headphones - Black","https://www.amazon.com/Bose-QuietComfort-45-Bluetooth-Canceling-Headphones/dp/B098FKXT8L/ref=sr_1_47?qid=1694094810&s=electronics&sr=1-47","$249.00","","4.6 out of 5 stars","","2","","18,651 ratings","B098FKXT8L","Bose","QuietComfort 45-Headphones","","","Bose","Visit the Bose Store","https://www.amazon.com/stores/Bose/page/9E24AFD5-B420-4859-BD2F-A993BA579B20?ref_=ast_bln","","B098FKXT8L","15.5 ounces"
"1694095170-51","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","WYZE Cam Pan v3 Indoor/Outdoor IP65-Rated 1080p Pan/Tilt/Zoom Wi-Fi Smart Home Security Camera with Motion Tracking for Baby & Pet, Color Night Vision, 2-Way Audio, Works with Alexa & Google Assistant","https://www.amazon.com/WYZE-IP65-Rated-Security-Compatible-Assistant/dp/B0B9TWY11Q/ref=sr_1_46?qid=1694094810&s=electronics&sr=1-46","$39.79","","4.3 out of 5 stars","Best Seller","2","","4,567 ratings","B0B9TWY11Q","WYZE","Pan Cam","Amazon.com","‎China","‎Wyze","Visit the WYZE Store","https://www.amazon.com/stores/WyzeLabs/page/2E088799-B509-4053-A944-167ABF7A236E?ref_=ast_bln","In Stock","B0B9TWY11Q","‎11.4 ounces"
"1694095177-52","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","HP 64XL Black High-yield Ink Cartridge | Works with HP ENVY Inspire 7950e; ENVY Photo 6200, 7100, 7800; Tango Series | Eligible for Instant Ink | N9J92AN","https://www.amazon.com/HP-Black-Cartridge-N9J92AN-Photo/dp/B071YHCML6/ref=sr_1_45?qid=1694094810&s=electronics&sr=1-45","$45.89","","4.7 out of 5 stars","","2","","20,544 ratings","B071YHCML6","HP","64XL (N9J92AN) High-yield Ink Cartridge","Total Office Solutions","","‎HP","Visit the HP Store","https://www.amazon.com/stores/HP/page/5BA42671-3E42-4AEB-B9E4-272F10DD0121?ref_=ast_bln","","B071YHCML6","‎1.44 ounces"
"1694095184-53","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","HP 962 Cyan, Magenta, Yellow Ink Cartridges (3 Count -pack of 1) | Works with HP OfficeJet 9010 Series, HP OfficeJet Pro 9010, 9020 Series | Eligible for Instant Ink | 3YP00AN","https://www.amazon.com/HP-Cartridges-Magenta-3HZ96AN-3HZ97AN/dp/B07MCYDD62/ref=sr_1_44?qid=1694094810&s=electronics&sr=1-44","$65.89","","4.7 out of 5 stars","","2","","8,835 ratings","B07MCYDD62","HP","966XL Ink Cartridge Black (3JA04AN)","ToneTech","","‎HP","Visit the HP Store","https://www.amazon.com/stores/HP/page/5BA42671-3E42-4AEB-B9E4-272F10DD0121?ref_=ast_bln","","","‎4.2 ounces"
"1694095191-54","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","Texas Instruments BA II Plus Financial Calculator, Black Medium","https://www.amazon.com/Texas-Instruments-Plus-Financial-Calculator/dp/B00000JZKB/ref=sr_1_43?qid=1694094810&s=electronics&sr=1-43","$29.94","$44.12","4.7 out of 5 stars","Best Seller","2","-32%","17,934 ratings","B00000JZKB","Brand: Texas Instruments","‎IIBAPL/TBL/1L1/C","Amazon.com","","‎Texas Instruments","","","In Stock","","‎3.8 ounces"
"1694095197-55","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","Fitbit Inspire 3 Health & Fitness Tracker with Stress Management, Workout Intensity, Sleep Tracking, 24/7 Heart Rate and more, Midnight Zen/Black One Size (S & L Bands Included)","https://www.amazon.com/Fitbit-Management-Intensity-Tracking-Midnight/dp/B0B5F9SZW7/ref=sr_1_42?qid=1694094810&s=electronics&sr=1-42","$99.95","","4.5 out of 5 stars","Best Seller","2","","6,605 ratings","B0B5F9SZW7","Fitbit","Inspire 3","Amazon.com","China","Fitbit Inc","Visit the Fitbit Store","https://www.amazon.com/stores/Fitbit/page/8C0C1BB6-B75A-4447-B068-50D4FE8F070C?ref_=ast_bln","In Stock","B0B5F9SZW7",""
"1694095204-56","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","Soundcore Anker Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 40H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups, for Travel, Home Office","https://www.amazon.com/Soundcore-Cancelling-Headphones-Wireless-Bluetooth/dp/B07NM3RSRQ/ref=sr_1_41?qid=1694094810&s=electronics&sr=1-41","$44.99","$59.99","4.5 out of 5 stars","","2","-25%","67,730 ratings","B07NM3RSRQ","Soundcore","Life Q20","AnkerDirect","","Anker","Visit the Soundcore Store","https://www.amazon.com/stores/soundcore/page/AD6AD8C0-90C7-4C65-8000-0AC741FA2633?ref_=ast_bln","In Stock","B07NM3RSRQ","9.3 ounces"
"1694095210-57","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","Mounting Dream UL Listed TV Mount for Most 37-70 Inch TV, Universal Tilt TV Wall Mount Fit 16"", 18"", 24"" Stud with Loading Capacity 132lbs, Max Vesa 600 x 400mm, Low Profile Flat Wall Mount Bracket","https://www.amazon.com/Mounting-Dream-600x400mm-Capacity-MD2268-LK/dp/B00NKYYMAW/ref=sr_1_40?qid=1694094810&s=electronics&sr=1-40","$32.99","","4.7 out of 5 stars","","2","","101,942 ratings","B00NKYYMAW","Mounting Dream","MD2268-LK","Mounting Dream","China","Mounting Dream","Visit the Mounting Dream Store","https://www.amazon.com/stores/MountingDream/page/0672580F-985F-4075-A739-ACAF19C1039C?ref_=ast_bln","In Stock","","5.74 pounds"
"1694095217-58","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","Sensyne 62"" Phone Tripod & Selfie Stick, Extendable Cell Phone Tripod Stand with Wireless Remote and Phone Holder, Compatible with iPhone Android Phone, Camera (Black)","https://www.amazon.com/Sensyne-Extendable-Wireless-Compatible-Android/dp/B09TQY66NH/ref=sr_1_39?qid=1694094810&s=electronics&sr=1-39","$19.98","$29.99","4.6 out of 5 stars","Best Seller","2","-33%","17,131 ratings","B09TQY66NH","SENSYNE","Compatible Devices","XITENG TECH","","sensyne","Visit the SENSYNE Store","https://www.amazon.com/stores/sensyne/page/0CF2AC54-BA81-4977-B048-8EB0C24F0A4C?ref_=ast_bln","In Stock","B09TQY66NH","1.43 pounds"
"1694095223-59","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","REDTIGER Dash Cam Front Rear, 4K/2.5K Full HD Dash Camera for Cars, Free 32GB SD Card, Built-in Wi-Fi GPS, 3.18” IPS Screen, Night Vision, 170°Wide Angle, WDR, 24H Parking Mode","https://www.amazon.com/Built-Display-Dashboard-Recorder-Support/dp/B098WVKF19/ref=sr_1_38?qid=1694094810&s=electronics&sr=1-38","$127.49","$199.99","4.4 out of 5 stars","Best Seller","2","-36%","6,892 ratings","B098WVKF19","REDTIGER","F7N-PLUS","REDTIGER-Direct","China","REDTIGER","Visit the REDTIGER Store","https://www.amazon.com/stores/REDTIGER/page/F1F62CC6-2A03-440F-B505-3A37A7361580?ref_=ast_bln","In Stock","","1.43 pounds"
"1694095229-60","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","SAMSUNG 980 PRO SSD 2TB PCIe NVMe Gen 4 Gaming M.2 Internal Solid State Drive Memory Card + 2mo Adobe CC Photography, Maximum Speed, Thermal Control (MZ-V8P2T0B)","https://www.amazon.com/SAMSUNG-Internal-Gaming-MZ-V8P2T0B-AM/dp/B08RK2SR23/ref=sr_1_37?qid=1694094810&s=electronics&sr=1-37","$129.99","","4.8 out of 5 stars","","2","","32,405 ratings","‎B08RK2SR23","SAMSUNG","‎2TB","Amazon.com","‎Korea, Republic of","‎Samsung","Visit the SAMSUNG Store","https://www.amazon.com/stores/Samsung%C2%AE/page/F50AFABA-4CDE-4A95-84D0-CA4C61819FEB?ref_=ast_bln","In Stock","B08RK2SR23","‎0.29 ounces"
"1694095235-61","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","SanDisk 128GB Extreme microSDXC UHS-I Memory Card with Adapter - Up to 190MB/s, C10, U3, V30, 4K, 5K, A2, Micro SD Card - SDSQXAA-128G-GN6MA","https://www.amazon.com/SanDisk-Extreme-microSDXC-Memory-Adapter/dp/B09X7BK27V/ref=sr_1_36?qid=1694094810&s=electronics&sr=1-36","$12.99","$25.99","4.8 out of 5 stars","Best Seller","2","-50%","57,950 ratings","‎B09X7BK27V","SanDisk","SanDisk Extreme microSD UHS-I Card with Adapter","Amazon.com","‎Malaysia","‎Western Digital Technologies, Inc.","Visit the SanDisk Store","https://www.amazon.com/stores/SanDisk/page/CD971F4B-EE23-4EA1-96E3-567678AC9C0A?ref_=ast_bln","In Stock","B09X7BK27V","‎0.353 ounces"
"1694095243-62","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","Fujifilm Instax Mini Instant Film Twin Pack (White)","https://www.amazon.com/Fujifilm-INSTAX-Instant-Twin-Pack/dp/B00EB4ADQW/ref=sr_1_35?qid=1694094810&s=electronics&sr=1-35","$13.98","","4.8 out of 5 stars","Best Seller","2","","116,468 ratings","B00EB4ADQW","Brand: instax","MAIN-17422","Amazon.com","Japan","Fujifilm","","","In Stock","B00EB4ADQW","3.2 ounces"
"1694095251-63","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","Full Motion TV Monitor Wall Mount Bracket Articulating Arms Swivels Tilts Extension Rotation for Most 13-42 Inch LED LCD Flat Curved Screen TVs & Monitors, Max VESA 200x200mm up to 44lbs by Pipishell","https://www.amazon.com/Articulating-Extension-Rotation-200x200mm-Pipishell/dp/B07SHFPD8S/ref=sr_1_34?qid=1694094810&s=electronics&sr=1-34","$18.99","$25.99","4.6 out of 5 stars","Best Seller","2","-27%","109,523 ratings","B07SHFPD8S","Pipishell","‎PISF1","Pipishell","‎China","","Visit the Pipishell Store","https://www.amazon.com/stores/Pipishell/page/133B2766-6BCF-4D17-9BDD-0557DF072DBE?ref_=ast_bln","In Stock","","‎3.04 pounds"
"1694095257-64","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","Ailun 3 Pack Screen Protector for iPhone 14 Pro Max[6.7 inch] + 3 Pack Camera Lens Protector,Sensor Protection,Dynamic Island Compatible,Case Friendly Tempered Glass Film,[9H Hardness] - HD","https://www.amazon.com/Ailun-Protector-Protection-Compatible-Friendly/dp/B0B76KJXWV/ref=sr_1_33?qid=1694094810&s=electronics&sr=1-33","$8.98","$12.99","4.5 out of 5 stars","Best Seller","2","-31%","48,833 ratings","B0B76KJXWV","Ailun","iphone14promax 3Gsp+3Lens","AilunUS","China","Ailun","Visit the Ailun Store","https://www.amazon.com/stores/Ailun/page/52AA3AC5-42CD-4237-BE3F-75EE5051346D?ref_=ast_bln","In Stock","B0B76KJXWV","2.12 ounces"
"1694095264-65","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","iPhone Charger [Apple MFi Certified] 2 Pack 20W PD USB C Wall Fast Charger Adapter with 2 Pack 6FT Type C to Lightning Cable Compatible for iPhone 14 13 12 11 Pro Max XR XS X,iPad","https://www.amazon.com/Charger-Certified-Adapter-Lightning-Compatible/dp/B0BW5X89MM/ref=sr_1_32?qid=1694094810&s=electronics&sr=1-32","$9.99","$12.99","4.5 out of 5 stars","","2","-23%","5,485 ratings","B0BW5X89MM","Brand: QUZUDN","G06-PD1328A","MHXLSLC","","QUZUDN","","","In Stock","B0BW5X89MM","5.3 ounces"
"1694095271-66","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","HP 63XL Black High-yield Ink Cartridge | Works with HP DeskJet 1112, 2130, 3630 Series; HP ENVY 4510, 4520 Series; HP OfficeJet 3830, 4650, 5200 Series | Eligible for Instant Ink | F6U64AN","https://www.amazon.com/HP-Cartridge-F6U64AN-Deskjet-Officejet/dp/B00WJDWGA8/ref=sr_1_31?qid=1694094810&s=electronics&sr=1-31","$45.89","","4.7 out of 5 stars","","2","","49,368 ratings","B00WJDWGA8","HP","F6U64AN","Total Office Solutions","","‎HP","Visit the HP Store","https://www.amazon.com/stores/HP/page/5BA42671-3E42-4AEB-B9E4-272F10DD0121?ref_=ast_bln","In Stock","B00WJDWGA8","‎0.176 ounces"
"1694095277-67","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","SanDisk 128GB Extreme PRO SDXC UHS-I Memory Card - C10, U3, V30, 4K UHD, SD Card - SDSDXXD-128G-GN4IN","https://www.amazon.com/SanDisk-128GB-Extreme-UHS-I-Memory/dp/B09X7FXHVJ/ref=sr_1_30?qid=1694094810&s=electronics&sr=1-30","$17.99","$33.49","4.8 out of 5 stars","Best Seller","2","-46%","23,002 ratings","‎B09X7FXHVJ","SanDisk","SanDisk Extreme PRO SD UHS-I Card","Amazon.com","‎Malaysia","‎Western Digital Technologies, Inc.","Visit the SanDisk Store","https://www.amazon.com/stores/SanDisk/page/CD971F4B-EE23-4EA1-96E3-567678AC9C0A?ref_=ast_bln","In Stock","B09X7FXHVJ","‎0.071 ounces"
"1694095285-68","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","Texas Instruments TI-30XS MultiView Scientific Calculator","https://www.amazon.com/Texas-Instruments-MultiView-Scientific-Calculator/dp/B000PDFQ6K/ref=sr_1_29?qid=1694094810&s=electronics&sr=1-29","$19.19","","4.8 out of 5 stars","","2","","31,118 ratings","B000PDFQ6K","Brand: Texas Instruments","30XSMV/TBL/1L1/G","Amazon.com","Philippines","Texas Instruments","","","In Stock","B000PDFQ6K","0.96 ounces"
"1694095301-69","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","Fastest WiFi Extender/ Booster | 2023 release Up to 74% Faster | Broader Coverage Than Ever WiFi Signal Booster for Home | Internet/ WiFi Repeater, w/Ethernet Port, Made for USA","https://www.amazon.com/Extender-Coverage-Extenders-internet-Amplifier/dp/B0BDSM76W4/ref=sr_1_28?qid=1694094810&s=electronics&sr=1-28","$36.99","","4.4 out of 5 stars","Best Seller","2","","19,435 ratings","B0BDSM76W4","Cryo360 by Macard","N300","VRNSHOP","","CRYO360 mkrd","Visit the Cryo360 by Macard Store","https://www.amazon.com/stores/cryo360byMacard/page/A4538F75-E572-48C6-A2AF-42912C11B357?ref_=ast_bln","In Stock","","0.035 ounces"
"1694095307-70","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","Logitech C920x HD Pro Webcam, Full HD 1080p/30fps Video Calling, Clear Stereo Audio, HD Light Correction, Works with Skype, Zoom, FaceTime, Hangouts, PC/Mac/Laptop/Macbook/Tablet - Black","https://www.amazon.com/Logitech-C920x-Pro-HD-Webcam/dp/B085TFF7M1/ref=sr_1_27?qid=1694094810&s=electronics&sr=1-27","From $88.95","","4.6 out of 5 stars","Best Seller","2","","17,115 ratings","B085TFF7M1","","960-001335","","","Logitech","Visit the Logitech Store","https://www.amazon.com/stores/Logitech/page/01EFDE77-7D1A-41D7-9EEA-7C2FA22AB12F?ref_=ast_bln","","B085TFF7M1","5.7 ounces"
"1694095313-71","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","Duracell Coppertop AA Batteries with Power Boost Ingredients, 24 Count Pack Double A Battery with Long-lasting Power, Alkaline AA Battery for Household and Office Devices","https://www.amazon.com/Duracell-Coppertop-AA-Ingredients-Long-lasting/dp/B0035LCFNQ/ref=sr_1_26?qid=1694094810&s=electronics&sr=1-26","$17.76","$21.98","4.8 out of 5 stars","","2","-19%","68,978 ratings","B0035LCFNQ","DURACELL","CT AA x24 - PB","Amazon.com","USA","Duracell Distributing, Inc","Visit the DURACELL Store","https://www.amazon.com/stores/Duracell/page/38DFE378-654B-430E-8C52-79BF261ED7DD?ref_=ast_bln","In Stock","B0035LCFNQ","13 ounces"
"1694095319-72","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","Logitech MK270 Wireless Keyboard And Mouse Combo For Windows, 2.4 GHz Wireless, Compact Mouse, 8 Multimedia And Shortcut Keys, For PC, Laptop - Black","https://www.amazon.com/Logitech-MK270-Wireless-Keyboard-Mouse/dp/B079JLY5M5/ref=sr_1_25?qid=1694094810&s=electronics&sr=1-25","","","4.5 out of 5 stars","Best Seller","2","","86,571 ratings","‎B079JLY5M5","Logitech","‎MK270","","","‎Logitech","Visit the Logitech Store","https://www.amazon.com/stores/Logitech/page/01EFDE77-7D1A-41D7-9EEA-7C2FA22AB12F?ref_=ast_bln","","B079JLY5M5","‎1.05 pounds"
"1694095326-73","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","Apple MagSafe Charger - Wireless Charger with Fast Charging Capability, Type C Wall Charger, Compatible with iPhone and AirPods","https://www.amazon.com/Apple-MHXH3AM-A-MagSafe-Charger/dp/B08L5NP6NG/ref=sr_1_24?qid=1694094791&s=electronics&sr=1-24","$33.00","$39.00","4.5 out of 5 stars","Best Seller","1","-15%","63,252 ratings","","Apple","","Amazon.com","","","Visit the Apple Store","https://www.amazon.com/stores/Apple/page/77D9E1F7-0337-4282-9DB6-B6B8FB2DC98D?ref_=ast_bln","In Stock","B08L5NP6NG",""
"1694095340-74","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","VIZIO 40-inch D-Series Full HD 1080p Smart TV with AMD FreeSync, Apple AirPlay and Chromecast Built-in, Alexa Compatibility, D40f-J09, 2022 Model","https://www.amazon.com/VIZIO-Chromecast-Mirroring-Streaming-Channels/dp/B092Q1TRJC/ref=sr_1_23?qid=1694094791&s=electronics&sr=1-23","$169.99","$229.99","4.3 out of 5 stars","Best Seller","1","-26%","5,451 ratings","B092Q1TRJC","VIZIO","D40F-J09","Amazon.com","‎China","","Visit the VIZIO Store","https://www.amazon.com/stores/VIZIO/page/A14B096D-909E-4667-B4CD-D553E594B198?ref_=ast_bln","In Stock","B092Q1TRJC","‎12.35 pounds"
